Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	45	14.018691588785046	1.6986025956745302E-22	SERPINA3, CSF1R, CD40, CSF1, C5AR1, FPR1, PIK3CD, TCIRG1, HMGB1, AIF1, RELA, CX3CL1, RELB, C3, IKBKB, C4A, CASP4, CCL4, BLNK, CCL3, C3AR1, SPP1, CCL2, S1PR3, CD14, TGFB1, ANXA1, CHUK, IL10RB, IL1R1, CYBB, TNFRSF1B, TNFRSF1A, NFKB2, P2RX7, AXL, CAMK4, KIT, TLR9, CD47, SIGLEC1, TLR4, CD44, MYD88, TLR2	317	436	19462	6.336569907099239	5.746372581166936E-19	5.746372581166936E-19	5.33191354782235E-19
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	48	14.953271028037381	7.611985688433525E-19	APP, RALB, KMT2A, TRADD, PTEN, TNFRSF11B, TCIRG1, CTSS, BBC3, PAK1, CASP7, CASP8, CASP6, INPP5D, CASP4, CASP1, BAK1, CD14, ATG5, BOK, SRGN, MEF2C, TNFRSF12A, DAPK1, BNIP3, TNFSF12, TNFRSF10B, EMP1, TRAF1, TNFRSF1A, NFKBIA, DAB2, IRF1, PMP22, LTA, BCL2, MDM2, BIRC5, FAS, CYCS, TNFRSF25, CD47, LTBR, TP53, MYD88, MCM2, BCL2L1, TLR2	317	620	19462	4.7531087819273425	2.5751347583970615E-15	1.2875673791985307E-15	1.1947011537996417E-15
GOTERM_BP_DIRECT	GO:0007165~signal transduction	66	20.5607476635514	3.499783776756379E-16	CSF3R, TRADD, PIK3CD, HMGB1, IGF1R, NRGN, TNFSF13B, HPGDS, CASP1, RAC2, SOX9, TIMP1, PRKACB, MAP2K1, ANXA1, DAPK1, TNFRSF1A, TYROBP, KIT, PECAM1, LTA, TNFRSF25, OPTN, RAPGEF3, TLR2, GRIA1, CSF1R, GRN, RALB, C5AR1, FPR1, PIK3R2, TNFRSF11B, C3, TTR, OLFML3, INPP5D, CCL4, SPP1, TP53BP2, CCL2, FCGR1A, CREBBP, IL10RB, STAT1, TIE1, TNFSF12, OSGIN1, TNFRSF10B, IGF1, NFKB2, MAPK10, MAVS, AXL, DLG4, CAMK4, PNOC, NOSTRIN, FAS, ATM, LTBR, GRAP, SIGLEC8, FGF13, ASB2, MYD88	317	1310	19462	3.0931490355672215	1.1267653476920714E-12	3.946589505588944E-13	3.6619404250794246E-13
GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	21	6.5420560747663545	6.723177879134278E-16	APP, CD84, HDAC2, TGFB1, SYK, CYBB, HSPB1, HMGB1, HLA-E, MAVS, FCGR3A, TYROBP, PTPRC, OAS1, CCL3, PLCG2, TLR9, CD14, TLR4, MYD88, TLR2	317	108	19462	11.937784787942517	2.2535306953841427E-12	5.686127691277815E-13	5.276013840650624E-13
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	40	12.461059190031152	6.032982707324787E-15	CSF1R, CDKN1A, HDAC2, HDAC1, OGG1, PTEN, XIAP, HSPB1, AIF1, RELA, CX3CL1, IGF1R, IKBKB, CLN3, SOCS3, EEF2K, BAG3, MYC, SOX9, TIMP1, ATG5, TGM2, NQO1, CD74, PRNP, ANXA1, DAPK1, BNIP3, IGF1, SOD2, SOX10, DAB2, AXL, BCL2, MDM2, BIRC5, FAS, TP53, CD44, BCL2L1	317	542	19462	4.530946255834798	2.0281776258457285E-11	3.566122694070725E-12	3.308914908864323E-12
GOTERM_BP_DIRECT	GO:0071260~cellular response to mechanical stimulus	18	5.607476635514018	6.324781603436107E-15	CD40, TGFB1, BNIP3, TNFRSF10B, IGF1R, TNFRSF1A, CNN2, CASP8, BAG3, IRF1, CASP1, FAS, BAK1, SOX9, LTBR, TLR4, MAP3K14, MYD88	317	78	19462	14.167920407668042	2.1408541606149356E-11	3.566122694070725E-12	3.308914908864323E-12
GOTERM_BP_DIRECT	GO:0006955~immune response	38	11.838006230529595	2.7717731609376715E-14	IFITM3, IGSF6, IFITM2, LST1, C5AR1, WAS, PIK3CD, PIK3R2, CRIP1, CX3CL1, CTSS, IGF1R, PIK3R5, TNFSF13B, C3, FCGR3A, CCL4, CCL3, CCL2, GBP2, FCGR1A, IKBKE, CD74, CHUK, IL10RB, IL1R1, TNFSF12, TNFRSF1B, VAV1, HLA-E, LTA, IRF8, FAS, LTBR, TLR4, MAP3K14, C1QC, TLR2	317	512	19462	4.556609818611987	9.389711230767261E-11	1.3395583719217346E-11	1.242942278883336E-11
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	38	11.838006230529595	4.230342723380711E-14	GRIA1, APP, CSF1, HDAC1, PIK3CD, TREM2, RELA, RELB, CNN2, PPP3CA, NWD1, MYC, LMNA, BLNK, CCL3, PLCG2, ITGAX, SOX9, CD74, MAP2K1, MEF2C, TGFB1, GSN, MSN, IGF1, SOX10, P2RX7, CLDN5, TYROBP, TMEM119, TLR9, MDM2, ATM, VIM, TP53, TLR4, MYD88, TLR2	317	519	19462	4.495152653428396	1.4309919915689306E-10	1.788906179149618E-11	1.6598807260865063E-11
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	29	9.034267912772584	1.62521987945886E-12	APP, TRADD, HMGB1, BBC3, CASP7, GRIN2A, CASP8, CASP6, INPP5D, HMOX1, BAK1, SOX4, TGM2, BOK, TGFB1, TNFRSF12A, DAPK1, BNIP3, OSGIN1, TNFRSF10B, VAV1, BIN1, LTA, BCL2, IRF8, FAS, ATM, TP53, BCL2L1	317	337	19462	5.28319089385841	5.498239308288078E-9	6.109020946899249E-10	5.668405779579291E-10
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	36	11.214953271028037	4.362387104692098E-12	CSF1R, HDAC2, FLT1, CSF1, HDAC1, HILPDA, PTEN, ASH2L, TCIRG1, AIF1, RELA, CX3CL1, IGF1R, PAK1, MYC, ITGAX, RAC2, ITGAV, S1PR3, SOX9, TIMP1, IL6R, SOX4, TRPM4, TGFB1, IGF1, OSMR, ADRA2A, CLDN5, KIT, BCL2, MDM2, BIRC5, PTPN6, CD47, BCL2L1	317	545	19462	4.055404740543513	1.4757996824599218E-8	1.4757955575173368E-9	1.3693533121628495E-9
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	17	5.29595015576324	6.288135721098054E-12	GSN, DAPK1, STAT1, WAS, AIF1, CX3CL1, MYC, CCL4, CASP1, CCL3, IRF8, CCL2, CD47, VIM, GBP2, TLR4, TLR2	317	100	19462	10.437034700315458	2.127257836548324E-8	1.877355204053912E-9	1.74195033565629E-9
