Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
BIOCARTA	h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF	19	5.919003115264798	5.071700702966414E-7	GSN, CHUK, TRADD, XIAP, TRAF1, TNFRSF1B, RELA, LMNB1, TNFRSF1A, NFKBIA, CASP7, CASP8, CASP6, LMNA, MDM2, BCL2, FAS, CYCS, MAP3K14	133	61	1623	3.800936768149883	1.1664234249642025E-4	6.158010143518938E-5	5.702852872041451E-5
BIOCARTA	h_deathPathway:Induction of apoptosis through DR3 and DR4/5 Death Receptors 	14	4.361370716510903	5.354791429146903E-7	CHUK, TRADD, XIAP, TNFRSF10B, RELA, NFKBIA, CASP7, CASP8, CASP6, LMNA, BCL2, CYCS, TNFRSF25, MAP3K14	133	33	1623	5.177033492822966	1.2315265193496572E-4	6.158010143518938E-5	5.702852872041451E-5
BIOCARTA	h_nfkbPathway:NF-kB Signaling Pathway	11	3.4267912772585665	4.1623074976641665E-6	NFKBIA, IKBKB, CHUK, IL1R1, TRADD, TNFRSF1B, TLR4, MAP3K14, RELA, MYD88, TNFRSF1A	133	23	1623	5.836220987250735	9.568746200516731E-4	3.191102414875861E-4	2.955238323341558E-4
BIOCARTA	h_relaPathway:Acetylation and Deacetylation of RelA in The Nucleus	8	2.4922118380062304	1.237075135366775E-4	NFKBIA, IKBKB, CREBBP, CHUK, TRADD, TNFRSF1B, RELA, TNFRSF1A	133	16	1623	6.101503759398495	0.028053471792094387	0.007113182028358957	0.006587425095828077
BIOCARTA	h_chemicalPathway:Apoptotic Signaling in Response to DNA Damage	9	2.803738317757009	1.8701228544459663E-4	CASP7, STAT1, CASP6, BCL2, CYCS, ATM, TP53, EIF2S1, BCL2L1	133	22	1623	4.99213943950786	0.04210474880036219	0.008602565130451444	0.007966723359939818
BIOCARTA	h_tnfr2Pathway:TNFR2 Signaling Pathway	8	2.4922118380062304	2.9940691432742524E-4	NFKBIA, IKBKB, CHUK, LTA, TRAF1, TNFRSF1B, MAP3K14, RELA	133	18	1623	5.423558897243107	0.0665556213797599	0.011477265049217969	0.010628945458623596
BIOCARTA	h_caspasePathway:Caspase Cascade in Apoptosis	9	2.803738317757009	3.7378172260429937E-4	CASP7, CASP8, CASP6, LMNA, CASP4, CASP1, XIAP, CYCS, LMNB1	133	24	1623	4.576127819548872	0.08239280048773501	0.012281399456998406	0.011373643844959395
BIOCARTA	h_rnaPathway:Double Stranded RNA Induced Gene Expression	6	1.8691588785046727	5.965393909691528E-4	NFKBIA, CHUK, TP53, MAP3K14, EIF2S1, RELA	133	10	1623	7.321804511278195	0.12824338042152816	0.01715050749036314	0.01588286128455369
BIOCARTA	h_mitochondriaPathway:Role of Mitochondria in Apoptotic Signaling	8	2.4922118380062304	0.0012154071861811867	CASP7, CASP8, CASP6, BCL2, XIAP, CYCS, BAK1, BCL2L1	133	22	1623	4.437457279562542	0.2439998242115088	0.031060405869074773	0.02876463673962142
BIOCARTA	h_nthiPathway:NFkB activation by Nontypeable Hemophilus influenzae	8	2.4922118380062304	0.002147551094106766	NFKBIA, IKBKB, CREBBP, CHUK, MAP3K14, RELA, MYD88, TLR2	133	24	1623	4.06766917293233	0.39010464725996763	0.049393675164455614	0.045742838304474114
